date,最高温度,最低温度,天气状况_数字编码,target
2018/1/1,22.00 ,12.00 ,1,257733.9648
2018/1/2,22.00 ,15.00 ,1,288502.5947
2018/1/3,23.00 ,15.00 ,2,300698.5858
2018/1/4,21.00 ,16.00 ,4,293806.5077
2018/1/5,19.00 ,13.00 ,4,295075.2147
2018/1/6,15.00 ,11.00 ,8,291465.15
2018/1/7,15.00 ,7.00 ,10,292661.2883
2018/1/8,12.00 ,5.00 ,6,299997.7041
2018/1/9,9.00 ,6.00 ,4,310392.7345
2018/1/10,14.00 ,7.00 ,1,306818.7119
2018/1/11,15.00 ,6.00 ,1,299302.4144
2018/1/12,16.00 ,6.00 ,0,302846.982
2018/1/13,17.00 ,7.00 ,0,293361.4419
2018/1/14,20.00 ,10.00 ,1,283362.4974
2018/1/15,21.00 ,10.00 ,1,290129.1856
2018/1/16,23.00 ,12.00 ,1,294721.0637
2018/1/17,24.00 ,14.00 ,1,294961.1641
2018/1/18,25.00 ,13.00 ,4,290300.2237
2018/1/19,24.00 ,17.00 ,1,299609.3093
2018/1/20,22.00 ,16.00 ,2,282911.8424
2018/1/21,21.00 ,18.00 ,2,290684.515
2018/1/22,23.00 ,19.00 ,2,284889.3107
2018/1/23,24.00 ,15.00 ,2,285749.4413
2018/1/24,23.00 ,17.00 ,2,286495.5221
2018/1/25,22.00 ,13.00 ,2,291820.343
2018/1/26,19.00 ,12.00 ,1,279917.4482
2018/1/27,16.00 ,8.00 ,5,275494.5232
2018/1/28,10.00 ,5.00 ,4,279548.9776
2018/1/29,8.00 ,6.00 ,4,302621.3153
2018/1/30,7.00 ,5.00 ,4,295016.9526
2018/1/31,8.00 ,4.00 ,4,292235.2609
2018/2/1,14.00 ,5.00 ,0,284312.842
2018/2/2,11.00 ,4.00 ,0,282105.1603
2018/2/3,13.00 ,4.00 ,1,258906.693
2018/2/4,14.00 ,4.00 ,1,257377.9674
2018/2/5,12.00 ,4.00 ,1,256420.9913
2018/2/6,14.00 ,5.00 ,0,242882.1822
2018/2/7,16.00 ,8.00 ,2,236223.8839
2018/2/8,16.00 ,10.00 ,1,219930.4795
2018/2/9,17.00 ,11.00 ,2,214977.995
2018/2/10,20.00 ,9.00 ,2,208286.4532
2018/2/11,16.00 ,9.00 ,2,214648.154
2018/2/12,17.00 ,8.00 ,0,200462.463
2018/2/13,20.00 ,9.00 ,1,186830.4696
2018/2/14,22.00 ,10.00 ,1,183464.2093
2018/2/15,24.00 ,15.00 ,1,182748.6766
2018/2/16,25.00 ,16.00 ,1,184540.9516
2018/2/17,25.00 ,17.00 ,2,168229.465
2018/2/18,22.00 ,18.00 ,5,179022.0317
2018/2/19,25.00 ,19.00 ,2,178707.341
2018/2/20,27.00 ,16.00 ,2,180044.2514
2018/2/21,18.00 ,13.00 ,4,193121.9774
2018/2/22,16.00 ,10.00 ,4,190793.2459
2018/2/23,17.00 ,15.00 ,5,209891.1135
2018/2/24,18.00 ,15.00 ,4,205371.9831
2018/2/25,17.00 ,12.00 ,4,215167.4117
2018/2/26,21.00 ,15.00 ,1,226081.8763
2018/2/27,23.00 ,17.00 ,4,232302.2593
2018/2/28,26.00 ,19.00 ,1,243480.4603
2018/3/1,29.00 ,20.00 ,3,250955.6706
2018/3/2,28.00 ,21.00 ,1,250806.8452
2018/3/3,27.00 ,22.00 ,1,252724.7404
2018/3/4,28.00 ,21.00 ,12,261539.1015
2018/3/5,28.00 ,18.00 ,12,280441.9871
2018/3/6,25.00 ,17.00 ,2,280034.081
2018/3/7,24.00 ,11.00 ,12,281314.5412
2018/3/8,14.00 ,10.00 ,12,286394.1139
2018/3/9,19.00 ,9.00 ,0,290356.1872
2018/3/10,22.00 ,13.00 ,0,285990.1705
2018/3/11,23.00 ,13.00 ,1,285032.1334
2018/3/12,25.00 ,15.00 ,1,292516.5151
2018/3/13,26.00 ,16.00 ,4,293842.3273
2018/3/14,25.00 ,17.00 ,12,285354.7193
2018/3/15,25.00 ,18.00 ,12,289398.9977
2018/3/16,27.00 ,19.00 ,2,298372.244
2018/3/17,27.00 ,19.00 ,3,307374.3603
2018/3/18,25.00 ,19.00 ,2,291134.6208
2018/3/19,24.00 ,15.00 ,10,302400.4432
2018/3/20,22.00 ,10.00 ,1,294013.9528
2018/3/21,21.00 ,11.00 ,0,298851.518
2018/3/22,23.00 ,14.00 ,0,295839.7337
2018/3/23,25.00 ,15.00 ,1,295916.3622
2018/3/24,26.00 ,18.00 ,2,302953.9897
2018/3/25,25.00 ,18.00 ,5,292328.8173
2018/3/26,25.00 ,18.00 ,1,299463.0274
2018/3/27,27.00 ,19.00 ,1,300358.4043
2018/3/28,28.00 ,19.00 ,1,297341.5989
2018/3/29,27.00 ,20.00 ,2,298358.4479
2018/3/30,28.00 ,20.00 ,1,298196.4628
2018/3/31,28.00 ,19.00 ,1,293186.1819
2018/4/1,30.00 ,21.00 ,1,296917.1472
2018/4/2,30.00 ,21.00 ,1,308540.8556
2018/4/3,31.00 ,21.00 ,1,307390.4708
2018/4/4,30.00 ,21.00 ,1,301033.4732
2018/4/5,29.00 ,20.00 ,5,257042.1158
2018/4/6,21.00 ,14.00 ,4,276876.6027
2018/4/7,19.00 ,12.00 ,2,289347.7177
2018/4/8,25.00 ,14.00 ,1,292383.7098
2018/4/9,26.00 ,18.00 ,1,297147.1489
2018/4/10,28.00 ,20.00 ,1,308823.1979
2018/4/11,30.00 ,21.00 ,1,304611.7881
2018/4/12,30.00 ,23.00 ,1,311371.8354
2018/4/13,30.00 ,25.00 ,5,322325.8172
2018/4/14,30.00 ,18.00 ,6,315833.3018
2018/4/15,17.00 ,15.00 ,7,291458.095
2018/4/16,17.00 ,15.00 ,7,295734.8143
2018/4/17,22.00 ,18.00 ,2,297215.0047
2018/4/18,26.00 ,19.00 ,1,303822.8913
2018/4/19,27.00 ,20.00 ,2,306511.5523
2018/4/20,27.00 ,22.00 ,12,308374.6537
2018/4/21,28.00 ,22.00 ,12,303780.8769
2018/4/22,29.00 ,23.00 ,2,302981.2483
2018/4/23,29.00 ,22.00 ,6,311374.788
2018/4/24,25.00 ,20.00 ,2,313838.5663
2018/4/25,26.00 ,21.00 ,2,312499.6851
2018/4/26,27.00 ,22.00 ,12,302704.4976
2018/4/27,26.00 ,22.00 ,5,307030.3003
2018/4/28,26.00 ,22.00 ,5,308037.6795
2018/4/29,28.00 ,23.00 ,5,312415.7445
2018/4/30,29.00 ,25.00 ,5,290033.5213
2018/5/1,31.00 ,24.00 ,12,258863.9569
2018/5/2,31.00 ,23.00 ,12,315434.9107
2018/5/3,31.00 ,22.00 ,5,328679.3448
2018/5/4,28.00 ,22.00 ,12,310476.7512
2018/5/5,30.00 ,24.00 ,2,311655.0189
2018/5/6,30.00 ,24.00 ,12,311937.1643
2018/5/7,29.00 ,22.00 ,10,334173.4147
2018/5/8,26.00 ,23.00 ,10,320392.4278
2018/5/9,27.00 ,22.00 ,8,313916.4452
2018/5/10,24.00 ,21.00 ,5,306565.6252
2018/5/11,27.00 ,23.00 ,7,314508.8078
2018/5/12,29.00 ,24.00 ,2,318266.1976
2018/5/13,33.00 ,24.00 ,5,310069.2071
2018/5/14,33.00 ,24.00 ,12,338010.7439
2018/5/15,35.00 ,26.00 ,1,346404.0841
2018/5/16,34.00 ,26.00 ,1,343511.4032
2018/5/17,34.00 ,26.00 ,1,339916.84
2018/5/18,34.00 ,27.00 ,1,347766.527
2018/5/19,34.00 ,27.00 ,1,343726.3594
2018/5/20,34.00 ,26.00 ,5,336954.2418
2018/5/21,33.00 ,26.00 ,5,358528.7798
2018/5/22,33.00 ,26.00 ,5,363029.0504
2018/5/23,34.00 ,26.00 ,1,369600.4681
2018/5/24,36.00 ,27.00 ,1,362364.5489
2018/5/25,35.00 ,27.00 ,1,364296.7253
2018/5/26,35.00 ,28.00 ,5,353214.3933
2018/5/27,35.00 ,27.00 ,1,343580.1163
2018/5/28,35.00 ,26.00 ,12,366257.9054
2018/5/29,35.00 ,27.00 ,1,357012.042
2018/5/30,35.00 ,27.00 ,1,363534.0643
2018/5/31,36.00 ,27.00 ,12,356936.8977
2018/6/1,34.00 ,26.00 ,12,364523.4461
2018/6/2,32.00 ,25.00 ,8,340796.6705
2018/6/3,31.00 ,25.00 ,5,335672.3722
2018/6/4,33.00 ,26.00 ,5,353952.9258
2018/6/5,31.00 ,25.00 ,12,348637.6692
2018/6/6,27.00 ,25.00 ,10,333981.4833
2018/6/7,28.00 ,24.00 ,11,329136.7106
2018/6/8,27.00 ,24.00 ,10,318319.4937
2018/6/9,31.00 ,25.00 ,1,319362.532
2018/6/10,35.00 ,26.00 ,1,321746.9182
2018/6/11,35.00 ,26.00 ,1,340670.4113
2018/6/12,30.00 ,25.00 ,11,345233.2913
2018/6/13,29.00 ,25.00 ,7,326371.2555
2018/6/14,31.00 ,25.00 ,1,325861.3075
2018/6/15,32.00 ,24.00 ,1,322835.5566
2018/6/16,29.00 ,25.00 ,5,319356.907
2018/6/17,32.00 ,25.00 ,5,311579.6786
2018/6/18,33.00 ,27.00 ,12,297469.1659
2018/6/19,34.00 ,27.00 ,5,342093.4642
2018/6/20,34.00 ,28.00 ,12,347934.3381
2018/6/21,33.00 ,28.00 ,12,343674.9721
2018/6/22,32.00 ,26.00 ,12,343325.287
