ds,y
2018/1/1,12
2018/1/2,15
2018/1/3,15
2018/1/4,16
2018/1/5,13
2018/1/6,11
2018/1/7,7
2018/1/8,5
2018/1/9,6
2018/1/10,7
2018/1/11,6
2018/1/12,6
2018/1/13,7
2018/1/14,10
2018/1/15,10
2018/1/16,12
2018/1/17,14
2018/1/18,13
2018/1/19,17
2018/1/20,16
2018/1/21,18
2018/1/22,19
2018/1/23,15
2018/1/24,17
2018/1/25,13
2018/1/26,12
2018/1/27,8
2018/1/28,5
2018/1/29,6
2018/1/30,5
2018/1/31,4
2018/2/1,5
2018/2/2,4
2018/2/3,4
2018/2/4,4
2018/2/5,4
2018/2/6,5
2018/2/7,8
2018/2/8,10
2018/2/9,11
2018/2/10,9
2018/2/11,9
2018/2/12,8
2018/2/13,9
2018/2/14,10
2018/2/15,15
2018/2/16,16
2018/2/17,17
2018/2/18,18
2018/2/19,19
2018/2/20,16
2018/2/21,13
2018/2/22,10
2018/2/23,15
2018/2/24,15
2018/2/25,12
2018/2/26,15
2018/2/27,17
2018/2/28,19
2018/3/1,20
2018/3/2,21
2018/3/3,22
2018/3/4,21
2018/3/5,18
2018/3/6,17
2018/3/7,11
2018/3/8,10
2018/3/9,9
2018/3/10,13
2018/3/11,13
2018/3/12,15
2018/3/13,16
2018/3/14,17
2018/3/15,18
2018/3/16,19
2018/3/17,19
2018/3/18,19
2018/3/19,15
2018/3/20,10
2018/3/21,11
2018/3/22,14
2018/3/23,15
2018/3/24,18
2018/3/25,18
2018/3/26,18
2018/3/27,19
2018/3/28,19
2018/3/29,20
2018/3/30,20
2018/3/31,19
2018/4/1,21
2018/4/2,21
2018/4/3,21
2018/4/4,21
2018/4/5,20
2018/4/6,14
2018/4/7,12
2018/4/8,14
2018/4/9,18
2018/4/10,20
2018/4/11,21
2018/4/12,23
2018/4/13,25
2018/4/14,18
2018/4/15,15
2018/4/16,15
2018/4/17,18
2018/4/18,19
2018/4/19,20
2018/4/20,22
2018/4/21,22
2018/4/22,23
2018/4/23,22
2018/4/24,20
2018/4/25,21
2018/4/26,22
2018/4/27,22
2018/4/28,22
2018/4/29,23
2018/4/30,25
2018/5/1,24
2018/5/2,23
2018/5/3,22
2018/5/4,22
2018/5/5,24
2018/5/6,24
2018/5/7,22
2018/5/8,23
2018/5/9,22
2018/5/10,21
2018/5/11,23
2018/5/12,24
2018/5/13,24
2018/5/14,24
2018/5/15,26
2018/5/16,26
2018/5/17,26
2018/5/18,27
2018/5/19,27
2018/5/20,26
2018/5/21,26
2018/5/22,26
2018/5/23,26
2018/5/24,27
2018/5/25,27
2018/5/26,28
2018/5/27,27
2018/5/28,26
2018/5/29,27
2018/5/30,27
2018/5/31,27
2018/6/1,26
2018/6/2,25
2018/6/3,25
2018/6/4,26
2018/6/5,25
2018/6/6,25
2018/6/7,24
2018/6/8,24
2018/6/9,25
2018/6/10,26
2018/6/11,26
2018/6/12,25
2018/6/13,25
2018/6/14,25
2018/6/15,24
2018/6/16,25
2018/6/17,25
2018/6/18,27
2018/6/19,27
2018/6/20,28
2018/6/21,28
2018/6/22,26
2018/6/23,25
2018/6/24,26
2018/6/25,26
2018/6/26,26
2018/6/27,26
2018/6/28,27
2018/6/29,27
2018/6/30,27
2018/7/1,28
2018/7/2,27
2018/7/3,27
2018/7/4,28
2018/7/5,28
2018/7/6,28
2018/7/7,27
2018/7/8,26
2018/7/9,26
2018/7/10,27
2018/7/11,28
2018/7/12,26
2018/7/13,25
2018/7/14,25
2018/7/15,25
2018/7/16,27
2018/7/17,27
2018/7/18,26
2018/7/19,27
2018/7/20,27
2018/7/21,27
2018/7/22,26
2018/7/23,26
2018/7/24,25
2018/7/25,26
2018/7/26,26
2018/7/27,26
2018/7/28,26
2018/7/29,27
2018/7/30,26
2018/7/31,26
2018/8/1,26
2018/8/2,27
2018/8/3,27
2018/8/4,27
2018/8/5,27
2018/8/6,26
2018/8/7,27
2018/8/8,27
2018/8/9,26
2018/8/10,27
2018/8/11,25
2018/8/12,25
2018/8/13,26
2018/8/14,26
2018/8/15,26
2018/8/16,26
2018/8/17,26
2018/8/18,27
2018/8/19,27
2018/8/20,27
2018/8/21,26
2018/8/22,26
2018/8/23,26
2018/8/24,27
2018/8/25,27
2018/8/26,27
2018/8/27,25
2018/8/28,25
2018/8/29,25
2018/8/30,25
2018/8/31,26
2018/9/1,24
2018/9/2,26
2018/9/3,25
2018/9/4,26
2018/9/5,26
2018/9/6,25
2018/9/7,24
2018/9/8,24
2018/9/9,24
2018/9/10,25
2018/9/11,24
2018/9/12,25
2018/9/13,25
2018/9/14,27
2018/9/15,27
2018/9/16,25
2018/9/17,25
2018/9/18,26
2018/9/19,26
2018/9/20,26
2018/9/21,26
2018/9/22,25
2018/9/23,24
2018/9/24,25
2018/9/25,25
2018/9/26,24
2018/9/27,24
2018/9/28,23
2018/9/29,22
2018/9/30,22
2018/10/1,21
2018/10/2,21
2018/10/3,21
2018/10/4,21
2018/10/5,21
2018/10/6,20
2018/10/7,22
2018/10/8,23
2018/10/9,22
2018/10/10,20
2018/10/11,18
2018/10/12,20
2018/10/13,20
2018/10/14,23
2018/10/15,20
2018/10/16,19
2018/10/17,18
2018/10/18,20
2018/10/19,21
2018/10/20,21
2018/10/21,22
2018/10/22,22
2018/10/23,19
2018/10/24,20
2018/10/25,21
2018/10/26,19
2018/10/27,18
2018/10/28,16
2018/10/29,17
2018/10/30,19
2018/10/31,20
2018/11/1,19
2018/11/2,19
2018/11/3,19
2018/11/4,19
2018/11/5,20
2018/11/6,21
2018/11/7,19
2018/11/8,18
2018/11/9,18
2018/11/10,19
2018/11/11,21
2018/11/12,20
2018/11/13,20
2018/11/14,20
2018/11/15,22
2018/11/16,19
2018/11/17,18
2018/11/18,16
2018/11/19,15
2018/11/20,19
2018/11/21,14
2018/11/22,12
2018/11/23,14
2018/11/24,15
2018/11/25,16
2018/11/26,15
2018/11/27,17
2018/11/28,14
2018/11/29,15
2018/11/30,17
2018/12/1,17
2018/12/2,20
2018/12/3,19
2018/12/4,19
2018/12/5,20
2018/12/6,14
2018/12/7,12
2018/12/8,9
2018/12/9,8
2018/12/10,10
2018/12/11,8
2018/12/12,7
2018/12/13,9
2018/12/14,10
2018/12/15,12
2018/12/16,12
2018/12/17,10
2018/12/18,10
2018/12/19,15
2018/12/20,19
2018/12/21,17
2018/12/22,18
2018/12/23,14
2018/12/24,13
2018/12/25,14
2018/12/26,14
2018/12/27,13
2018/12/28,8
2018/12/29,5
2018/12/30,5
2018/12/31,4
2019/1/1,7
2019/1/2,6
2019/1/3,9
2019/1/4,12
2019/1/5,12
2019/1/6,11
2019/1/7,12
2019/1/8,12
2019/1/9,11
2019/1/10,13
2019/1/11,15
2019/1/12,14
2019/1/13,16
2019/1/14,15
2019/1/15,12
2019/1/16,10
2019/1/17,9
2019/1/18,9
2019/1/19,14
2019/1/20,12
2019/1/21,8
2019/1/22,7
2019/1/23,9
2019/1/24,12
2019/1/25,12
2019/1/26,10
2019/1/27,12
2019/1/28,12
2019/1/29,14
2019/1/30,15
2019/1/31,12
2019/2/1,12
2019/2/2,15
2019/2/3,16
2019/2/4,18
2019/2/5,19
2019/2/6,20
2019/2/7,21
2019/2/8,20
2019/2/9,16
2019/2/10,12
2019/2/11,8
2019/2/12,11
2019/2/13,18
2019/2/14,17
2019/2/15,17
2019/2/16,16
2019/2/17,12
2019/2/18,13
2019/2/19,16
