date,zdz
2018/1/1,257733.9648
2018/1/2,288502.5947
2018/1/3,300698.5858
2018/1/4,293806.5077
2018/1/5,295075.2147
2018/1/6,291465.15
2018/1/7,292661.2883
2018/1/8,299997.7041
2018/1/9,310392.7345
2018/1/10,306818.7119
2018/1/11,299302.4144
2018/1/12,302846.982
2018/1/13,293361.4419
2018/1/14,283362.4974
2018/1/15,290129.1856
2018/1/16,294721.0637
2018/1/17,294961.1641
2018/1/18,290300.2237
2018/1/19,299609.3093
2018/1/20,282911.8424
2018/1/21,290684.515
2018/1/22,284889.3107
2018/1/23,285749.4413
2018/1/24,286495.5221
2018/1/25,291820.343
2018/1/26,279917.4482
2018/1/27,275494.5232
2018/1/28,279548.9776
2018/1/29,302621.3153
2018/1/30,295016.9526
2018/1/31,292235.2609
2018/2/1,284312.842
2018/2/2,282105.1603
2018/2/3,258906.693
2018/2/4,257377.9674
2018/2/5,256420.9913
2018/2/6,242882.1822
2018/2/7,236223.8839
2018/2/8,219930.4795
2018/2/9,214977.995
2018/2/10,208286.4532
2018/2/11,214648.154
2018/2/12,200462.463
2018/2/13,186830.4696
2018/2/14,183464.2093
2018/2/15,182748.6766
2018/2/16,184540.9516
2018/2/17,168229.465
2018/2/18,179022.0317
2018/2/19,178707.341
2018/2/20,180044.2514
2018/2/21,193121.9774
2018/2/22,190793.2459
2018/2/23,209891.1135
2018/2/24,205371.9831
2018/2/25,215167.4117
2018/2/26,226081.8763
2018/2/27,232302.2593
2018/2/28,243480.4603
2018/3/1,250955.6706
2018/3/2,250806.8452
2018/3/3,252724.7404
2018/3/4,261539.1015
2018/3/5,280441.9871
2018/3/6,280034.081
2018/3/7,281314.5412
2018/3/8,286394.1139
2018/3/9,290356.1872
2018/3/10,285990.1705
2018/3/11,285032.1334
2018/3/12,292516.5151
2018/3/13,293842.3273
2018/3/14,285354.7193
2018/3/15,289398.9977
2018/3/16,298372.244
2018/3/17,307374.3603
2018/3/18,291134.6208
2018/3/19,302400.4432
2018/3/20,294013.9528
2018/3/21,298851.518
2018/3/22,295839.7337
2018/3/23,295916.3622
2018/3/24,302953.9897
2018/3/25,292328.8173
2018/3/26,299463.0274
2018/3/27,300358.4043
2018/3/28,297341.5989
2018/3/29,298358.4479
2018/3/30,298196.4628
2018/3/31,293186.1819
2018/4/1,296917.1472
2018/4/2,308540.8556
2018/4/3,307390.4708
2018/4/4,301033.4732
2018/4/5,257042.1158
2018/4/6,276876.6027
2018/4/7,289347.7177
2018/4/8,292383.7098
2018/4/9,297147.1489
2018/4/10,308823.1979
2018/4/11,304611.7881
2018/4/12,311371.8354
2018/4/13,322325.8172
2018/4/14,315833.3018
2018/4/15,291458.095
2018/4/16,295734.8143
2018/4/17,297215.0047
2018/4/18,303822.8913
2018/4/19,306511.5523
2018/4/20,308374.6537
2018/4/21,303780.8769
2018/4/22,302981.2483
2018/4/23,311374.788
2018/4/24,313838.5663
2018/4/25,312499.6851
2018/4/26,302704.4976
2018/4/27,307030.3003
2018/4/28,308037.6795
2018/4/29,312415.7445
2018/4/30,290033.5213
2018/5/1,258863.9569
