ds,y,wd
2018/1/1,257733.9648,12
2018/1/2,288502.5947,15
2018/1/3,300698.5858,15
2018/1/4,293806.5077,16
2018/1/5,295075.2147,13
2018/1/6,291465.15,11
2018/1/7,292661.2883,7
2018/1/8,299997.7041,5
2018/1/9,310392.7345,6
2018/1/10,306818.7119,7
2018/1/11,299302.4144,6
2018/1/12,302846.982,6
2018/1/13,293361.4419,7
2018/1/14,283362.4974,10
2018/1/15,290129.1856,10
2018/1/16,294721.0637,12
2018/1/17,294961.1641,14
2018/1/18,290300.2237,13
2018/1/19,299609.3093,17
2018/1/20,282911.8424,16
2018/1/21,290684.515,18
2018/1/22,284889.3107,19
2018/1/23,285749.4413,15
2018/1/24,286495.5221,17
2018/1/25,291820.343,13
2018/1/26,279917.4482,12
2018/1/27,275494.5232,8
2018/1/28,279548.9776,5
2018/1/29,302621.3153,6
2018/1/30,295016.9526,5
2018/1/31,292235.2609,4
2018/2/1,284312.842,5
2018/2/2,282105.1603,4
2018/2/3,258906.693,4
2018/2/4,257377.9674,4
2018/2/5,256420.9913,4
2018/2/6,242882.1822,5
2018/2/7,236223.8839,8
2018/2/8,219930.4795,10
2018/2/9,214977.995,11
2018/2/10,208286.4532,9
2018/2/11,214648.154,9
2018/2/12,200462.463,8
2018/2/13,186830.4696,9
2018/2/14,183464.2093,10
2018/2/15,182748.6766,15
2018/2/16,184540.9516,16
2018/2/17,168229.465,17
2018/2/18,179022.0317,18
2018/2/19,178707.341,19
2018/2/20,180044.2514,16
2018/2/21,193121.9774,13
2018/2/22,190793.2459,10
2018/2/23,209891.1135,15
2018/2/24,205371.9831,15
2018/2/25,215167.4117,12
2018/2/26,226081.8763,15
2018/2/27,232302.2593,17
2018/2/28,243480.4603,19
2018/3/1,250955.6706,20
2018/3/2,250806.8452,21
2018/3/3,252724.7404,22
2018/3/4,261539.1015,21
2018/3/5,280441.9871,18
2018/3/6,280034.081,17
2018/3/7,281314.5412,11
2018/3/8,286394.1139,10
2018/3/9,290356.1872,9
2018/3/10,285990.1705,13
2018/3/11,285032.1334,13
2018/3/12,292516.5151,15
2018/3/13,293842.3273,16
2018/3/14,285354.7193,17
2018/3/15,289398.9977,18
2018/3/16,298372.244,19
2018/3/17,307374.3603,19
2018/3/18,291134.6208,19
2018/3/19,302400.4432,15
2018/3/20,294013.9528,10
2018/3/21,298851.518,11
2018/3/22,295839.7337,14
2018/3/23,295916.3622,15
2018/3/24,302953.9897,18
2018/3/25,292328.8173,18
2018/3/26,299463.0274,18
2018/3/27,300358.4043,19
2018/3/28,297341.5989,19
2018/3/29,298358.4479,20
2018/3/30,298196.4628,20
2018/3/31,293186.1819,19
2018/4/1,296917.1472,21
2018/4/2,308540.8556,21
2018/4/3,307390.4708,21
2018/4/4,301033.4732,21
2018/4/5,257042.1158,20
2018/4/6,276876.6027,14
2018/4/7,289347.7177,12
2018/4/8,292383.7098,14
2018/4/9,297147.1489,18
2018/4/10,308823.1979,20
2018/4/11,304611.7881,21
2018/4/12,311371.8354,23
2018/4/13,322325.8172,25
2018/4/14,315833.3018,18
2018/4/15,291458.095,15
2018/4/16,295734.8143,15
2018/4/17,297215.0047,18
2018/4/18,303822.8913,19
2018/4/19,306511.5523,20
2018/4/20,308374.6537,22
2018/4/21,303780.8769,22
2018/4/22,302981.2483,23
2018/4/23,311374.788,22
2018/4/24,313838.5663,20
