ds,y
2018/1/1,203793.5753
2018/1/2,183505.2648
2018/1/3,220601.5301
2018/1/4,224981.5866
2018/1/5,224667.817
2018/1/6,226264.9467
2018/1/7,224636.8547
2018/1/8,222288.2162
2018/1/9,224629.2019
2018/1/10,228308.8327
2018/1/11,225281.1461
2018/1/12,225817.3774
2018/1/13,223227.5946
2018/1/14,221349.9454
2018/1/15,218786.1224
2018/1/16,220580.6251
2018/1/17,220487.5486
2018/1/18,217913.6321
2018/1/19,219323.1885
2018/1/20,216146.543
2018/1/21,214393.5725
2018/1/22,212853.7527
2018/1/23,210885.9999
2018/1/24,207896.0637
2018/1/25,207882.1213
2018/1/26,181101.5848
2018/1/27,206333.2846
2018/1/28,202474.9245
2018/1/29,203824.8248
2018/1/30,207950.9021
2018/1/31,211389.6834
2018/2/1,207549.6781
2018/2/2,201861.2913
2018/2/3,199415.4072
2018/2/4,177868.5242
2018/2/5,173662.9101
2018/2/6,168042.8376
2018/2/7,156898.8051
2018/2/8,150439.1904
2018/2/9,143880.3265
2018/2/10,141338.5764
2018/2/11,137708.8339
2018/2/12,133422.9686
2018/2/13,127425.6497
2018/2/14,123069.8607
2018/2/15,119118.5889
2018/2/16,119036.213
2018/2/17,118544.496
2018/2/18,118078.6464
2018/2/19,118090.4541
2018/2/20,118899.7894
2018/2/21,120087.3422
2018/2/22,120735.703
2018/2/23,125440.6569
2018/2/24,129661.9516
2018/2/25,133123.3637
2018/2/26,141416.1486
2018/2/27,149286.2973
2018/2/28,154223.2119
2018/3/1,161428.9904
2018/3/2,167428.5128
2018/3/3,169703.455
2018/3/4,172979.9224
2018/3/5,177765.3022
2018/3/6,183389.0984
2018/3/7,182886.9502
2018/3/8,188993.404
2018/3/9,208052.6201
2018/3/10,208213.6351
2018/3/11,211607.659
2018/3/12,211216.6021
2018/3/13,218123.4906
2018/3/14,206883.919
2018/3/15,208738.505
2018/3/16,223090.2641
2018/3/17,227550.5948
2018/3/18,228793.6816
2018/3/19,230544.3397
2018/3/20,231619.5755
2018/3/21,229869.808
2018/3/22,230838.5017
2018/3/23,229928.9786
2018/3/24,225344.3934
2018/3/25,215687.8955
2018/3/26,228357.6615
2018/3/27,232647.5846
2018/3/28,232624.1246
2018/3/29,231777.7295
2018/3/30,231470.8999
2018/3/31,234631.3402
2018/4/1,229465.0088
2018/4/2,234061.0725
2018/4/3,236226.2142
2018/4/4,236044.2238
2018/4/5,223649.2509
2018/4/6,205840.0504
2018/4/7,222799.2378
2018/4/8,228454.2229
2018/4/9,227096.5542
2018/4/10,233319.139
2018/4/11,235518.6871
2018/4/12,237429.1747
2018/4/13,242119.6687
2018/4/14,245636.1223
2018/4/15,236351.193
2018/4/16,230089.095
2018/4/17,230270.5396
2018/4/18,234344.4258
2018/4/19,236549.6803
2018/4/20,235669.8838
2018/4/21,238065.2619
2018/4/22,235535.5109
2018/4/23,239066.3526
2018/4/24,243711.3847
2018/4/25,240870.346
2018/4/26,237363.3649
2018/4/27,240232.2897
2018/4/28,241602.3252
2018/4/29,241112.3716
2018/4/30,239513.1366
2018/5/1,211493.3937
2018/5/2,194987.6442
2018/5/3,241203.9147
2018/5/4,245653.9621
2018/5/5,244750.4056
2018/5/6,250012.4753
2018/5/7,250570.757
2018/5/8,247395.9099
2018/5/9,246572.0044
2018/5/10,241029.7347
2018/5/11,242192.4674
2018/5/12,245191.8971
2018/5/13,246737.8129
2018/5/14,246486.3338
2018/5/15,259122.2037
2018/5/16,263367.148
2018/5/17,265877.776
2018/5/18,266928.1147
2018/5/19,272494.65
2018/5/20,278357.9796
2018/5/21,283242.9623
2018/5/22,286107.2371
2018/5/23,289748.6212
2018/5/24,292125.1303
2018/5/25,289176.8127
2018/5/26,290564.7664
2018/5/27,289184.1329
2018/5/28,278988.7701
2018/5/29,284064.0904
2018/5/30,293759.933
2018/5/31,290586.8419
2018/6/1,294074.172
2018/6/2,269451.0073
2018/6/3,271024.5532
2018/6/4,279706.4918
2018/6/5,277887.9692
2018/6/6,268316.4113
2018/6/7,263148.8636
2018/6/8,254750.187
2018/6/9,240913.9332
2018/6/10,254192.6199
2018/6/11,259892.5233
2018/6/12,278274.0013
2018/6/13,259018.9277
2018/6/14,253528.0523
2018/6/15,256618.1251
2018/6/16,256931.6989
2018/6/17,259884.7282
2018/6/18,240875.6073
2018/6/19,240946.2755
2018/6/20,280086.7469
2018/6/21,275895.1395
2018/6/22,276847.2328
2018/6/23,262305.1827
2018/6/24,255450.3564
2018/6/25,250606.7353
2018/6/26,248762.7944
2018/6/27,249312.1485
2018/6/28,261936.8675
2018/6/29,268901.2031
2018/6/30,271890.3845
2018/7/1,262545.2076
2018/7/2,266398.8724
2018/7/3,271947.4834
2018/7/4,272375.4238
2018/7/5,278977.1029
2018/7/6,278367.9564
2018/7/7,267922.5486
2018/7/8,252142.4845
2018/7/9,257757.3181
2018/7/10,260207.2738
2018/7/11,267086.0654
2018/7/12,277564.7803
2018/7/13,276669.227
2018/7/14,258509.2123
2018/7/15,244548.3102
2018/7/16,246660.863
2018/7/17,250950.4816
2018/7/18,274283.1007
2018/7/19,270748.7885
2018/7/20,270079.9105
2018/7/21,268870.439
2018/7/22,271450.7788
2018/7/23,257914.8745
2018/7/24,247357.8874
2018/7/25,251785.193
2018/7/26,252629.4994
2018/7/27,253112.0923
2018/7/28,257193.5139
2018/7/29,260433.1151
2018/7/30,262852.0539
2018/7/31,260254.8648
2018/8/1,260463.6384
2018/8/2,270656.6146
2018/8/3,272940.9074
2018/8/4,264320.9643
2018/8/5,268415.8322
2018/8/6,146382.2767
2018/8/7,175644.5643
2018/8/8,248896.7983
2018/8/9,275623.791
2018/8/10,22172.4183
2018/8/11,262037.1239
2018/8/12,187786.6658
2018/8/13,184141.0447
2018/8/14,196688.651
2018/8/15,192212.4775
2018/8/16,177062.6616
2018/8/17,189898.6312
2018/8/18,194114.768
2018/8/19,186762.9225
2018/8/20,186435.512
2018/8/21,189462.0526
2018/8/22,191749.3536
2018/8/23,191637.4953
2018/8/24,190807.2854
2018/8/25,188177.4041
2018/8/26,186490.1205
2018/8/27,176246.4472
2018/8/28,195631.4143
2018/8/29,191804.7712
2018/8/30,194226.2205
2018/8/31,189829.3809
2018/9/1,180242.7111
2018/9/2,182659.7832
2018/9/3,185390.8085
2018/9/4,191406.4375
2018/9/5,196152.7477
2018/9/6,197428.9451
2018/9/7,196284.7855
2018/9/8,190905.3317
2018/9/9,186741.0623
2018/9/10,184277.5063
2018/9/11,190217.5189
2018/9/12,185479.0222
2018/9/13,188398.3913
2018/9/14,189225.5352
2018/9/15,190558.0193
2018/9/16,123966.104
2018/9/17,118334.4316
2018/9/18,171522.1871
2018/9/19,193900.7648
2018/9/20,197393.3167
2018/9/21,194860.9377
2018/9/22,194650.2765
2018/9/23,190650.812
2018/9/24,145969.3744
2018/9/25,143231.4442
2018/9/26,177198.4047
2018/9/27,190731.6757
2018/9/28,187550.1193
2018/9/29,185321.1393
2018/9/30,178663.4638
2018/10/1,143199.0278
2018/10/2,132670.6138
2018/10/3,146419.3382
2018/10/4,162754.5479
2018/10/5,176940.7034
2018/10/6,173971.5842
2018/10/7,181149.6631
2018/10/8,186512.378
2018/10/9,189280.4093
2018/10/10,186768.3496
2018/10/11,181116.6749
2018/10/12,183283.6626
2018/10/13,184206.6228
2018/10/14,183456.0533
2018/10/15,187013.0219
2018/10/16,182407.0235
