ds,y,wd
2018/1/1,203793.5753,12
2018/1/2,183505.2648,15
2018/1/3,220601.5301,15
2018/1/4,224981.5866,16
2018/1/5,224667.817,13
2018/1/6,226264.9467,11
2018/1/7,224636.8547,7
2018/1/8,222288.2162,5
2018/1/9,224629.2019,6
2018/1/10,228308.8327,7
2018/1/11,225281.1461,6
2018/1/12,225817.3774,6
2018/1/13,223227.5946,7
2018/1/14,221349.9454,10
2018/1/15,218786.1224,10
2018/1/16,220580.6251,12
2018/1/17,220487.5486,14
2018/1/18,217913.6321,13
2018/1/19,219323.1885,17
2018/1/20,216146.543,16
2018/1/21,214393.5725,18
2018/1/22,212853.7527,19
2018/1/23,210885.9999,15
2018/1/24,207896.0637,17
2018/1/25,207882.1213,13
2018/1/26,181101.5848,12
2018/1/27,206333.2846,8
2018/1/28,202474.9245,5
2018/1/29,203824.8248,6
2018/1/30,207950.9021,5
2018/1/31,211389.6834,4
2018/2/1,207549.6781,5
2018/2/2,201861.2913,4
2018/2/3,199415.4072,4
2018/2/4,177868.5242,4
2018/2/5,173662.9101,4
2018/2/6,168042.8376,5
2018/2/7,156898.8051,8
2018/2/8,150439.1904,10
2018/2/9,143880.3265,11
2018/2/10,141338.5764,9
2018/2/11,137708.8339,9
2018/2/12,133422.9686,8
2018/2/13,127425.6497,9
2018/2/14,123069.8607,10
2018/2/15,119118.5889,15
2018/2/16,119036.213,16
2018/2/17,118544.496,17
2018/2/18,118078.6464,18
2018/2/19,118090.4541,19
2018/2/20,118899.7894,16
2018/2/21,120087.3422,13
2018/2/22,120735.703,10
2018/2/23,125440.6569,15
2018/2/24,129661.9516,15
2018/2/25,133123.3637,12
2018/2/26,141416.1486,15
2018/2/27,149286.2973,17
2018/2/28,154223.2119,19
2018/3/1,161428.9904,20
2018/3/2,167428.5128,21
2018/3/3,169703.455,22
2018/3/4,172979.9224,21
2018/3/5,177765.3022,18
2018/3/6,183389.0984,17
2018/3/7,182886.9502,11
2018/3/8,188993.404,10
2018/3/9,208052.6201,9
2018/3/10,208213.6351,13
2018/3/11,211607.659,13
2018/3/12,211216.6021,15
2018/3/13,218123.4906,16
2018/3/14,206883.919,17
2018/3/15,208738.505,18
2018/3/16,223090.2641,19
2018/3/17,227550.5948,19
2018/3/18,228793.6816,19
2018/3/19,230544.3397,15
2018/3/20,231619.5755,10
2018/3/21,229869.808,11
2018/3/22,230838.5017,14
2018/3/23,229928.9786,15
2018/3/24,225344.3934,18
2018/3/25,215687.8955,18
2018/3/26,228357.6615,18
2018/3/27,232647.5846,19
2018/3/28,232624.1246,19
2018/3/29,231777.7295,20
2018/3/30,231470.8999,20
2018/3/31,234631.3402,19
2018/4/1,229465.0088,21
2018/4/2,234061.0725,21
2018/4/3,236226.2142,21
2018/4/4,236044.2238,21
2018/4/5,223649.2509,20
2018/4/6,205840.0504,14
2018/4/7,222799.2378,12
2018/4/8,228454.2229,14
2018/4/9,227096.5542,18
2018/4/10,233319.139,20
2018/4/11,235518.6871,21
2018/4/12,237429.1747,23
2018/4/13,242119.6687,25
2018/4/14,245636.1223,18
2018/4/15,236351.193,15
2018/4/16,230089.095,15
2018/4/17,230270.5396,18
2018/4/18,234344.4258,19
2018/4/19,236549.6803,20
2018/4/20,235669.8838,22
2018/4/21,238065.2619,22
2018/4/22,235535.5109,23
2018/4/23,239066.3526,22
2018/4/24,243711.3847,20
2018/4/25,240870.346,21
2018/4/26,237363.3649,22
2018/4/27,240232.2897,22
2018/4/28,241602.3252,22
2018/4/29,241112.3716,23
2018/4/30,239513.1366,25
2018/5/1,211493.3937,24
2018/5/2,194987.6442,23
2018/5/3,241203.9147,22
2018/5/4,245653.9621,22
2018/5/5,244750.4056,24
2018/5/6,250012.4753,24
2018/5/7,250570.757,22
2018/5/8,247395.9099,23
2018/5/9,246572.0044,22
2018/5/10,241029.7347,21
2018/5/11,242192.4674,23
2018/5/12,245191.8971,24
2018/5/13,246737.8129,24
2018/5/14,246486.3338,24
2018/5/15,259122.2037,26
2018/5/16,263367.148,26
2018/5/17,265877.776,26
2018/5/18,266928.1147,27
2018/5/19,272494.65,27
2018/5/20,278357.9796,26
2018/5/21,283242.9623,26
2018/5/22,286107.2371,26
2018/5/23,289748.6212,26
2018/5/24,292125.1303,27
2018/5/25,289176.8127,27
2018/5/26,290564.7664,28
2018/5/27,289184.1329,27
2018/5/28,278988.7701,26
2018/5/29,284064.0904,27
2018/5/30,293759.933,27
2018/5/31,290586.8419,27
2018/6/1,294074.172,26
2018/6/2,269451.0073,25
2018/6/3,271024.5532,25
2018/6/4,279706.4918,26
2018/6/5,277887.9692,25
2018/6/6,268316.4113,25
2018/6/7,263148.8636,24
2018/6/8,254750.187,24
2018/6/9,240913.9332,25
2018/6/10,254192.6199,26
2018/6/11,259892.5233,26
2018/6/12,278274.0013,25
2018/6/13,259018.9277,25
2018/6/14,253528.0523,25
2018/6/15,256618.1251,24
2018/6/16,256931.6989,25
2018/6/17,259884.7282,25
2018/6/18,240875.6073,27
2018/6/19,240946.2755,27
2018/6/20,280086.7469,28
2018/6/21,275895.1395,28
2018/6/22,276847.2328,26
2018/6/23,262305.1827,25
2018/6/24,255450.3564,26
2018/6/25,250606.7353,26
2018/6/26,248762.7944,26
2018/6/27,249312.1485,26
2018/6/28,261936.8675,27
2018/6/29,268901.2031,27
2018/6/30,271890.3845,27
2018/7/1,262545.2076,28
2018/7/2,266398.8724,27
2018/7/3,271947.4834,27
2018/7/4,272375.4238,28
2018/7/5,278977.1029,28
2018/7/6,278367.9564,28
2018/7/7,267922.5486,27
2018/7/8,252142.4845,26
2018/7/9,257757.3181,26
2018/7/10,260207.2738,27
2018/7/11,267086.0654,28
2018/7/12,277564.7803,26
2018/7/13,276669.227,25
2018/7/14,258509.2123,25
2018/7/15,244548.3102,25
2018/7/16,246660.863,27
2018/7/17,250950.4816,27
2018/7/18,274283.1007,26
2018/7/19,270748.7885,27
2018/7/20,270079.9105,27
2018/7/21,268870.439,27
2018/7/22,271450.7788,26
2018/7/23,257914.8745,26
2018/7/24,247357.8874,25
2018/7/25,251785.193,26
2018/7/26,252629.4994,26
2018/7/27,253112.0923,26
2018/7/28,257193.5139,26
2018/7/29,260433.1151,27
2018/7/30,262852.0539,26
2018/7/31,260254.8648,26
2018/8/1,260463.6384,26
2018/8/2,270656.6146,27
2018/8/3,272940.9074,27
2018/8/4,264320.9643,27
2018/8/5,268415.8322,27
2018/8/6,146382.2767,26
2018/8/7,175644.5643,27
2018/8/8,248896.7983,27
2018/8/9,275623.791,26
2018/8/10,22172.4183,27
2018/8/11,262037.1239,25
2018/8/12,187786.6658,25
2018/8/13,184141.0447,26
2018/8/14,196688.651,26
2018/8/15,192212.4775,26
2018/8/16,177062.6616,26
2018/8/17,189898.6312,26
2018/8/18,194114.768,27
2018/8/19,186762.9225,27
2018/8/20,186435.512,27
2018/8/21,189462.0526,26
2018/8/22,191749.3536,26
2018/8/23,191637.4953,26
2018/8/24,190807.2854,27
2018/8/25,188177.4041,27
2018/8/26,186490.1205,27
2018/8/27,176246.4472,25
2018/8/28,195631.4143,25
2018/8/29,191804.7712,25
2018/8/30,194226.2205,25
2018/8/31,189829.3809,26
2018/9/1,180242.7111,24
2018/9/2,182659.7832,26
2018/9/3,185390.8085,25
2018/9/4,191406.4375,26
2018/9/5,196152.7477,26
2018/9/6,197428.9451,25
2018/9/7,196284.7855,24
2018/9/8,190905.3317,24
2018/9/9,186741.0623,24
2018/9/10,184277.5063,25
2018/9/11,190217.5189,24
2018/9/12,185479.0222,25
2018/9/13,188398.3913,25
2018/9/14,189225.5352,27
2018/9/15,190558.0193,27
2018/9/16,123966.104,25
2018/9/17,118334.4316,25
2018/9/18,171522.1871,26
2018/9/19,193900.7648,26
2018/9/20,197393.3167,26
2018/9/21,194860.9377,26
2018/9/22,194650.2765,25
2018/9/23,190650.812,24
2018/9/24,145969.3744,25
2018/9/25,143231.4442,25
2018/9/26,177198.4047,24
2018/9/27,190731.6757,24
2018/9/28,187550.1193,23
2018/9/29,185321.1393,22
2018/9/30,178663.4638,22
2018/10/1,143199.0278,21
2018/10/2,132670.6138,21
2018/10/3,146419.3382,21
2018/10/4,162754.5479,21
2018/10/5,176940.7034,21
2018/10/6,173971.5842,20
2018/10/7,181149.6631,22
2018/10/8,186512.378,23
2018/10/9,189280.4093,22
2018/10/10,186768.3496,20
2018/10/11,181116.6749,18
2018/10/12,183283.6626,20
2018/10/13,184206.6228,20
2018/10/14,183456.0533,23
2018/10/15,187013.0219,20
2018/10/16,182407.0235,19
2018/10/17,176017.2775,18
2018/10/18,185224.0256,20
2018/10/19,184991.4549,21
2018/10/20,183311.9294,21
2018/10/21,182245.5452,22
2018/10/22,180736.4333,22
2018/10/23,186395.8224,19
2018/10/24,185534.3661,20
2018/10/25,150015.0712,21
2018/10/26,187327.4735,19
2018/10/27,184274.575,18
2018/10/28,176706.2291,16
2018/10/29,176332.6572,17
2018/10/30,178200.9283,19
2018/10/31,179053.8522,20
2018/11/1,179376.4575,19
2018/11/2,180156.7431,19
2018/11/3,187834.3566,19
2018/11/4,177539.3294,19
2018/11/5,182003.8043,20
2018/11/6,188521.0388,21
2018/11/7,189770.7415,19
2018/11/8,185912.4669,18
2018/11/9,188647.3141,18
2018/11/10,186998.2111,19
2018/11/11,178874.1069,21
2018/11/12,179147.4152,20
2018/11/13,182150.8939,20
2018/11/14,59306.2544,20
2018/11/15,187223.8848,22
2018/11/16,35114.5412,19
2018/11/17,181172.5831,18
2018/11/18,19994.8171,16
2018/11/19,175624.3724,15
2018/11/20,183161.9086,19
2018/11/21,179310.108,14
2018/11/22,178246.627,12
2018/11/23,179183.6682,14
2018/11/24,176860.6312,15
2018/11/25,177439.1248,16
2018/11/26,161655.1251,15
2018/11/27,161234.8764,17
2018/11/28,175014.4342,14
2018/11/29,170165.4338,15
2018/11/30,57906.0745,17
2018/12/1,173785.5881,17
2018/12/2,172710.5566,20
2018/12/3,174729.6736,19
2018/12/4,181031.6756,19
2018/12/5,181094.3032,20
2018/12/6,183763.4804,14
2018/12/7,179375.4851,12
2018/12/8,180268.7504,9
2018/12/9,176822.4895,8
2018/12/10,177125.5736,10
2018/12/11,178609.7998,8
2018/12/12,179351.1924,7
2018/12/13,182429.1773,9
2018/12/14,183026.2444,10
2018/12/15,179726.4158,12
2018/12/16,176190.1285,12
2018/12/17,176498.6209,10
2018/12/18,183861.7188,10
2018/12/19,177327.4173,15
2018/12/20,178892.954,19
2018/12/21,178466.8441,17
2018/12/22,182265.2931,18
2018/12/23,178703.0281,14
2018/12/24,179528.5016,13
2018/12/25,182018.2937,14
2018/12/26,182475.0011,14
2018/12/27,178463.6053,13
2018/12/28,175161.5566,8
2018/12/29,177083.2882,5
2018/12/30,170709.7541,5
2018/12/31,172404.9688,4
2019/1/1,144879.8709,7
2019/1/2,138872.2294,6
2019/1/3,171065.6096,9
2019/1/4,174249.2358,12
2019/1/5,173376.5375,12
2019/1/6,172620.3585,11
2019/1/7,170016.1785,12
2019/1/8,175231.9203,12
2019/1/9,169608.3891,11
2019/1/10,167621.1312,13
2019/1/11,168997.3325,15
2019/1/12,163271.7122,14
2019/1/13,155110.741,16
2019/1/14,149947.0809,15
2019/1/15,153877.7341,12
2019/1/16,149649.7189,10
2019/1/17,149655.2424,9
2019/1/18,148425.7684,9
2019/1/19,145047.5457,14
2019/1/20,141197.7462,12
2019/1/21,138707.7167,8
2019/1/22,137831.029,7
2019/1/23,132265.9022,9
2019/1/24,127619.8328,12
2019/1/25,123771.6625,12
2019/1/26,119794.7009,10
2019/1/27,114482.6608,12
2019/1/28,110264.655,12
2019/1/29,107106.2119,14
2019/1/30,103575.2332,15
2019/1/31,100334.774,12
2019/2/1,96371.9647,12
2019/2/2,89294.5739,15
2019/2/3,87625.8209,16
2019/2/4,87188.8604,18
2019/2/5,87262.3473,19
2019/2/6,86798.6898,20
2019/2/7,87386.5123,21
2019/2/8,88652.0464,20
2019/2/9,88912.7621,16
2019/2/10,87182.3559,12
2019/2/11,88076.2289,8
2019/2/12,92657.8228,11
2019/2/13,95705.1133,18
2019/2/14,101656.8954,17
2019/2/15,116503.7833,17
2019/2/16,14967.4898,16
2019/2/17,124985.86,12
2019/2/18,129966.7699,13
2019/2/19,132399.1983,16
2019/2/20,135713.8377,18
2019/2/21,139767.7987,15
2019/2/22,141347.779,11
2019/2/23,142339.2805,11
2019/2/24,146332.8859,9
2019/2/25,145564.9906,12
2019/2/26,152449.4353,11
2019/2/27,155569.5995,15
